     Cntry  lper100k weight   length                    
       US         19.8   2178     5.92 
       Japan      9.9    1026     4.32 
       US         10.8   1188     4.27 
       US         12.5   1444     5.11 
       US         12.5   1485     5.03 
       US         12.5   1485     5.03 
       Europ      10.4   972      4.37 
       US         13.2   1665     5.44 
       Europ      17     1539     4.88 
      US         9.2    1003     4.32 
      Japan      7.9    891      3.91 
      US         11.9   1273     4.95 
      US         11.3   1930     5.18 
      Europ      9.2    823      3.61 
      Japan      13.2   1084     4.42 
      US         8.2    949      4.14 
      US         19.8   2178     5.92 
      US         17     1755     5.18 
      Europ      14     1426     4.9  
      Japan      7.7    990      4.19 
      US         17     1827     5.61 
      US         9.2    1134     4.62 
      US         14.9   1813     5.23 
      Europ      9.5    1192     4.5  
      Japan      11.3   1237     4.67 
      US         17     1858     5.51 
      US         14.9   1813     5.23 
      US         8.5    1062     4.32 
      US         10.8   1431     4.9  
      US         13.2   1651     5.54 
      Japan      13.2   1201     4.45 
      US         8.5    1062     4.32 
      Japan      9.5    1008     4.37 
      US         17     1858     5.51 
      US         10.8   1318     4.72 
      US         12.5   1440     5.05 
      Europ      14     1273     4.8  
      Europ      5.8    918      3.94 
      US         14.9   1813     5.23 
      US         12.5   1530     5.08 
      US         14     1683     5.59 
      US         15.9   1836     5.64 
      US         17     1723     5.11 
      US         11.3   1827     5.59 
      US         10.8   1449     5.08 
      US         10.8   1318     4.72 
      US         17     1858     5.51 
      US         11.9   1273     4.95 
      Europ      9.5     868     3.94 
      US         10.8   1318     4.72 
      US         13.2   1665     5.44 
      US         13.2   1620     5.23 
      US         7.9    954      4.14 
      US         7.9    954      4.14 
      US         12.5   1516     5.08 
      US         13.2   1665     5.44 
      US         11.9   1462     4.98 
      Europ      10.4   972      4.37 
      US         13.2   1665     5.44 
      US         15.9   1674     5.38 
      US         17     1755     5.18 
      Japan      13.2   1201     4.45 
      US         9.9    1237     4.55 
      US         19.8   2178     5.92 
      US         11.3   1930     5.18 
      US         8.5    1062     4.32 
      Japan      6.8    922      4.17 
      Japan      9.9    1026     4.32 
      US         10.8   1449     5.08 
      US         9.2    1134     4.62 
      US         9.5    990      4.19 
      Japan      13.2   1084     4.42 
      US         11.3   1930     5.18 
      US         13.2   1516     5.03 
      US         14     1507     4.39 
      Japan      13.2   1084     4.42 
      Japan      9.9    1026     4.32 
      Europ      11.3   958      4.09 
      US         17     1858     5.51 
      US         11.3   1930     5.18 
      US         11.3   1192     4.55 
      US         9.9    1237     4.55 
      Europ      5.8    918      3.94 
      US         14.9   1813     5.23 
      US         10.8   1449     5.08 
      US         17     1755     5.18 
      US         13.2   1561     5.03 
      US         8.5    1062     4.32 
      US         12.5   1489     5.03 
      US         11.3   1192     4.55 
      US         17     1827     5.61 
      US         17     1755     5.18 
      US         14     1683     5.59 
      US         19.8   2178     5.92 
      Europ      5.8    918      3.94 
      Europ      5.8    918      3.94 
      Europ      14     1426     4.9  
      US         9.5    990      4.19 
      US         14.9   1660     5.38 
     US         13.2   1498     5.11 
